Season,Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
2018,"NYY",162,2269,6271,267,851,821,63,0.099665125,0.226598628,0.202357208,0.284868759,0.249138712,0.329180642,0.45149592,0.33525513369494525,,111.8128603584207,1.9553947926033288,90.10580113149774,-25.58859690092504,28.664887026145976
2013,"TBR",163,2423,6242,165,700,670,73,0.094360781,0.187600128,0.151137594,0.295043457,0.256590827,0.329044708,0.407728421,0.3237602938371809,,106.76055535898544,2.472296050284058,50.08026740659764,14.019312112010084,28.642908683478744
2019,"WSN",162,2327,6267,231,873,824,116,0.093186532,0.208712302,0.189586357,0.306102117,0.264876632,0.341694806,0.454462989,0.3356960747394599,,103.7852770740814,8.681367188459262,39.65099244234818,53.751926864730194,28.493175487467866
2012,"STL",162,2391,6326,159,765,732,91,0.084255453,0.188428706,0.149590893,0.316435185,0.271433653,0.337541953,0.421024546,0.3291826583612986,,106.3900949948611,-1.631299005355686,46.473786760106485,31.708157087676227,28.350601497001943
2017,"CLE",162,2367,6234,212,818,780,88,0.096888033,0.18495348,0.186354563,0.295156287,0.262928688,0.338647342,0.449283251,0.3359310616760192,,104.93688251341061,8.677921160589904,46.435521231325446,31.63453023135662,28.246729967658222
2018,"MIL",163,2496,6210,218,754,711,124,0.086473429,0.234782608,0.172140022,0.302022011,0.252255503,0.322596309,0.424395525,0.32215914669426343,,99.94810876270067,3.1010342640802264,2.6168339103505573,80.45571702541201,28.125627112097813
2017,"MIN",162,2324,6261,206,815,781,95,0.094713304,0.214342756,0.173834803,0.305830039,0.259852438,0.334081796,0.433687241,0.3288697541614415,,103.3050539148667,8.391962478868663,33.736172529008506,41.934556481894106,28.096620162262646
2013,"DET",162,2274,6388,176,796,767,35,0.083124608,0.167971195,0.151002616,0.319655857,0.283347863,0.345972309,0.434350479,0.34117795941269496,,114.16511352048188,-18.98607903905213,83.72465039129828,-31.88627397082746,27.827485150938102
2012,"MIL",162,2415,6224,202,776,741,158,0.074871465,0.199228791,0.177073961,0.29879518,0.259492531,0.324983734,0.436566492,0.32940863577215407,,102.38315403433685,12.086278668604791,29.46760595281813,46.648385612876154,27.80909772990791
2019,"BOS",162,2455,6475,245,901,857,68,0.091119691,0.213436293,0.196533795,0.312634344,0.26932409,0.339841933,0.465857885,0.33796254550442806,,105.95754298399422,-10.518697313033044,38.17747488451836,11.312999836169183,27.580570433607512
2023,"HOU",162,2282,6253,222,827,799,107,0.08795778,0.198464736,0.177833663,0.294160231,0.258846775,0.331192807,0.436680438,0.33164072907017034,,112.20109141613301,-9.262175489806395,82.02601805572006,-20.14731190353632,27.575949078759372
2010,"MIN",162,2290,6257,142,781,749,68,0.089339939,0.154546907,0.148347701,0.305629432,0.273168103,0.34073002,0.421515804,0.3346388028264239,,106.20737956390637,-15.798149693291634,29.54983213555947,18.260954348370433,27.554139564657987
2011,"TBR",162,2284,6152,172,707,674,155,0.092815344,0.193920676,0.158756438,0.280565026,0.243561442,0.321831561,0.40231788,0.31929624413754265,,103.47961396059156,10.39242918905802,35.13112312546038,22.645034626009874,27.515358076794428
2014,"BAL",162,2294,6130,211,705,681,44,0.065415986,0.209624796,0.166011437,0.295696324,0.256254467,0.31123872,0.422265904,0.32265937038471,,104.26311204708225,-6.233054461656138,21.875259323523775,34.15993557032198,27.298667424595518
